Over,Batter Runs,Cumulative Runs,Extra_Runs,Total_Runs,Bowler_ID,Striker_ID,Venue_ID,Team_ID
0.1,0,0,0,0,98,82,0,0
0.2,4,4,0,4,98,82,0,0
0.3,0,4,0,0,98,82,0,0
0.4,0,5,1,1,98,82,0,0
0.5,0,5,0,0,98,82,0,0
0.6,0,5,0,0,98,82,0,0
0.7,0,5,0,0,98,82,0,0
1.1,6,11,0,6,236,206,0,0
1.2,0,11,0,0,236,206,0,0
1.3,0,13,2,2,236,233,0,0
1.4,0,13,0,0,236,82,0,0
1.5,0,13,0,0,236,82,0,0
1.6,4,17,0,4,236,82,0,0
1.7,0,17,0,0,236,82,0,0
2.1,4,21,0,4,98,233,0,0
2.2,6,27,0,6,98,233,0,0
2.3,6,33,0,6,98,233,0,0
2.4,1,34,0,1,98,233,0,0
2.5,1,35,0,1,98,82,0,0
2.6,2,37,0,2,98,233,0,0
3.1,0,38,1,1,253,82,0,0
3.2,4,42,0,4,253,82,0,0
3.3,0,42,0,0,253,82,0,0
3.4,0,43,1,1,253,82,0,0
3.5,0,43,0,0,253,82,0,0
3.6,1,44,0,1,253,82,0,0
3.7,1,45,0,1,253,233,0,0
3.8,1,46,0,1,253,82,0,0
4.1,4,50,0,4,236,82,0,0
4.2,1,51,0,1,236,82,0,0
4.3,1,52,0,1,236,233,0,0
4.4,0,52,0,0,236,82,0,0
4.5,0,52,0,0,236,82,0,0
4.6,0,52,0,0,236,82,0,0
5.1,4,56,0,4,253,233,0,0
5.2,4,60,0,4,253,233,0,0
5.3,6,66,0,6,253,233,0,0
5.4,4,70,0,4,253,233,0,0
5.5,1,71,0,1,253,233,0,0
5.6,1,72,0,1,253,82,0,0
6.1,0,72,0,0,177,82,0,0
6.2,0,76,4,4,177,82,0,0
6.3,6,82,0,6,177,82,0,0
6.4,1,83,0,1,177,82,0,0
6.5,0,84,1,1,177,233,0,0
6.6,0,84,0,0,177,82,0,0
7.1,1,85,0,1,152,233,0,0
7.2,1,86,0,1,152,82,0,0
7.3,0,86,0,0,152,233,0,0
7.4,2,88,0,2,152,233,0,0
7.5,1,89,0,1,152,233,0,0
7.6,4,93,0,4,152,82,0,0
8.1,2,95,0,2,177,233,0,0
8.2,0,96,1,1,177,233,0,0
8.3,0,96,0,0,177,82,0,0
8.4,6,102,0,6,177,82,0,0
8.5,0,102,0,0,177,82,0,0
8.6,4,106,0,4,177,18,0,0
9.1,2,108,0,2,240,233,0,0
9.2,0,108,0,0,240,233,0,0
9.3,0,108,0,0,240,233,0,0
9.4,1,109,0,1,240,233,0,0
9.5,1,110,0,1,240,18,0,0
9.6,1,111,0,1,240,233,0,0
10.1,1,112,0,1,177,233,0,0
10.2,1,113,0,1,177,18,0,0
10.3,1,114,0,1,177,233,0,0
0.1,0,0,0,0,126,48,0,1
0.2,0,0,0,0,126,48,0,1
0.3,0,0,0,0,126,48,0,1
0.4,2,2,0,2,126,48,0,1
0.5,0,2,0,0,126,48,0,1
0.6,1,3,0,1,126,138,0,1
1.1,0,3,0,0,106,138,0,1
1.2,0,3,0,0,106,138,0,1
1.3,0,3,0,0,106,138,0,1
1.4,0,5,2,2,106,138,0,1
1.5,1,6,0,1,106,138,0,1
1.6,0,6,0,0,106,22,0,1
2.1,4,10,0,4,126,138,0,1
2.2,1,11,0,1,126,138,0,1
2.3,0,11,0,0,126,240,0,1
2.4,4,15,0,4,126,240,0,1
2.5,0,15,0,0,126,240,0,1
2.6,0,15,0,0,126,240,0,1
3.1,0,16,1,1,106,138,0,1
3.2,0,17,1,1,106,138,0,1
3.3,1,18,0,1,106,138,0,1
3.4,0,18,0,0,106,240,0,1
3.5,1,19,0,1,106,240,0,1
3.6,0,19,0,0,106,138,0,1
3.7,0,20,1,1,106,138,0,1
3.8,1,21,0,1,106,138,0,1
3.9,0,21,0,0,106,240,0,1
4.1,0,21,0,0,126,138,0,1
4.2,0,21,0,0,126,138,0,1
4.3,1,22,0,1,126,119,0,1
4.4,1,23,0,1,126,240,0,1
4.5,0,23,0,0,126,119,0,1
4.6,0,23,0,0,126,119,0,1
5.1,0,24,1,1,106,240,0,1
5.2,4,28,0,4,106,240,0,1
5.3,4,32,0,4,106,240,0,1
5.4,1,33,0,1,106,240,0,1
5.5,0,33,0,0,106,119,0,1
5.6,6,39,0,6,106,119,0,1
5.7,1,40,0,1,106,119,0,1
6.1,4,44,0,4,228,119,0,1
6.2,1,45,0,1,228,119,0,1
6.3,0,46,1,1,228,240,0,1
6.4,0,46,0,0,228,240,0,1
6.5,1,47,0,1,228,240,0,1
6.6,0,47,0,0,228,119,0,1
6.7,0,47,0,0,228,119,0,1
7.1,0,47,0,0,206,240,0,1
7.2,1,48,0,1,206,240,0,1
7.3,1,49,0,1,206,143,0,1
7.4,0,49,0,0,206,240,0,1
7.5,1,50,0,1,206,240,0,1
7.6,1,51,0,1,206,143,0,1
8.1,4,55,0,4,228,143,0,1
8.2,1,56,0,1,228,143,0,1
8.3,1,57,0,1,228,240,0,1
8.4,0,57,0,0,228,143,0,1
8.5,0,57,0,0,228,143,0,1
8.6,1,58,0,1,228,143,0,1
9.1,1,59,0,1,206,143,0,1
9.2,1,60,0,1,206,240,0,1
9.3,1,61,0,1,206,143,0,1
9.4,0,61,0,0,206,240,0,1
9.5,0,61,0,0,206,240,0,1
9.6,0,61,0,0,206,240,0,1
10.1,1,62,0,1,51,143,0,1
10.2,0,62,0,0,51,240,0,1
10.3,2,64,0,2,51,177,0,1
10.4,0,64,0,0,51,177,0,1
10.5,0,64,0,0,51,177,0,1
10.6,6,70,0,6,51,177,0,1
11.1,0,70,0,0,5,143,0,1
11.2,1,71,0,1,5,143,0,1
11.3,0,71,0,0,5,177,0,1
11.4,0,71,0,0,5,177,0,1
11.5,0,71,0,0,5,177,0,1
11.6,1,72,0,1,5,232,0,1
12.1,2,74,0,2,51,232,0,1
12.2,1,75,0,1,51,232,0,1
12.3,1,76,0,1,51,143,0,1
12.4,0,77,1,1,51,232,0,1
12.5,0,77,0,0,51,232,0,1
12.6,4,81,0,4,51,236,0,1
12.7,1,82,0,1,51,236,0,1
13.1,4,86,0,4,5,236,0,1
13.2,0,87,1,1,5,236,0,1
13.3,0,87,0,0,5,143,0,1
13.4,2,89,0,2,5,143,0,1
13.5,1,90,0,1,5,143,0,1
13.6,0,90,0,0,5,236,0,1
14.1,0,90,0,0,228,143,0,1
14.2,0,90,0,0,228,152,0,1
14.3,0,90,0,0,228,152,0,1
14.4,0,90,0,0,228,152,0,1
14.5,0,90,0,0,228,152,0,1
14.6,0,90,0,0,228,152,0,1
15.1,0,94,4,4,206,236,0,1
15.2,1,95,0,1,206,236,0,1
15.3,0,95,0,0,206,152,0,1
15.4,1,96,0,1,206,152,0,1
15.5,1,97,0,1,206,236,0,1
15.6,1,98,0,1,206,152,0,1
16.1,1,99,0,1,228,152,0,1
16.2,0,99,0,0,228,236,0,1
16.3,0,99,0,0,228,236,0,1
16.4,2,101,0,2,228,236,0,1
16.5,6,107,0,6,228,236,0,1
16.6,1,108,0,1,228,236,0,1
17.1,1,109,0,1,206,236,0,1
17.2,1,110,0,1,206,152,0,1
17.3,2,112,0,2,206,236,0,1
17.4,1,113,0,1,206,236,0,1
17.5,0,113,0,0,206,152,0,1
17.6,0,113,0,0,206,98,0,1
18.1,0,113,0,0,51,236,0,1
18.2,0,113,0,0,51,236,0,1
18.3,0,113,0,0,51,236,0,1
0.1,0,0,0,0,98,248,0,2
0.2,0,0,0,0,98,248,0,2
0.3,1,1,0,1,98,248,0,2
0.4,0,1,0,0,98,111,0,2
0.5,1,2,0,1,98,111,0,2
0.6,6,8,0,6,98,248,0,2
1.1,1,9,0,1,236,111,0,2
1.2,1,10,0,1,236,248,0,2
1.3,2,12,0,2,236,111,0,2
1.4,0,12,0,0,236,111,0,2
1.5,0,12,0,0,236,111,0,2
1.6,1,13,0,1,236,111,0,2
2.1,0,13,0,0,98,111,0,2
2.2,0,13,0,0,98,111,0,2
2.3,1,14,0,1,98,111,0,2
2.4,4,18,0,4,98,248,0,2
2.5,1,19,0,1,98,248,0,2
2.6,0,19,0,0,98,111,0,2
3.1,1,20,0,1,236,248,0,2
3.2,0,20,0,0,236,111,0,2
3.3,0,20,0,0,236,111,0,2
3.4,4,24,0,4,236,111,0,2
3.5,0,24,0,0,236,111,0,2
3.6,0,24,0,0,236,111,0,2
4.1,0,25,1,1,253,248,0,2
4.2,0,25,0,0,253,145,0,2
4.3,2,27,0,2,253,145,0,2
4.4,0,27,0,0,253,145,0,2
4.5,0,27,0,0,253,145,0,2
4.6,0,28,1,1,253,145,0,2
4.7,4,32,0,4,253,145,0,2
5.1,6,38,0,6,98,248,0,2
5.2,4,42,0,4,98,248,0,2
5.3,0,42,0,0,98,248,0,2
5.4,4,46,0,4,98,248,0,2
5.5,4,50,0,4,98,248,0,2
5.6,1,51,0,1,98,248,0,2
6.1,0,51,0,0,152,248,0,2
6.2,1,52,0,1,152,248,0,2
6.3,1,53,0,1,152,145,0,2
6.4,0,54,1,1,152,248,0,2
6.5,1,55,0,1,152,248,0,2
6.6,0,55,0,0,152,145,0,2
6.7,1,56,0,1,152,145,0,2
7.1,1,57,0,1,177,145,0,2
7.2,6,63,0,6,177,248,0,2
7.3,1,64,0,1,177,248,0,2
7.4,1,65,0,1,177,145,0,2
7.5,0,65,0,0,177,248,0,2
7.6,1,66,0,1,177,64,0,2
8.1,0,66,0,0,48,64,0,2
8.2,1,67,0,1,48,64,0,2
