Index,Over,Runs_on_that_bowl,Bowler_ID,Striker_ID,Venue_ID,Team_ID,Strike_Rate,Runs_on_previous_ball,Avg_Extra_Runs_Last_5,Avg_Extra_Runs_Last_4,Avg_Extra_Runs_Last_3,Avg_Total_Runs_Last_3,Avg_Total_Runs_Last_4,Avg_Total_Runs_Last_5
0,0.1,0,98,82,0,0,1.1,0,0,0,0,0,0,0
1,0.2,4,98,82,0,0,1.1,0,0,0,0,0,0,0
2,0.3,0,98,82,0,0,1.1,4,0,0,0,2,2,2
3,0.4,1,98,82,0,0,1.1,0,0,0,0,1.33,1.33,1.33
4,0.5,0,98,82,0,0,1.1,1,0.25,0.25,0.33,1.67,1.25,1.25
5,0.6,0,98,82,0,0,1.1,0,0.2,0.25,0.33,0.33,1.25,1
6,0.7,0,98,82,0,0,1.1,0,0.2,0.25,0.33,0.33,0.25,1
7,1.1,6,236,206,0,0,2.714285714,0,0.2,0.25,0,0,0.25,0.2
8,1.2,0,236,206,0,0,2.714285714,6,0.2,0,0,2,1.5,1.4
9,1.3,2,236,233,0,0,1.5,0,0,0,0,2,1.5,1.2
10,1.4,0,236,82,0,0,1.153846154,2,0.4,0.5,0.67,2.67,2,1.6
11,1.5,0,236,82,0,0,1.153846154,0,0.4,0.5,0.67,0.67,2,1.6
12,1.6,4,236,82,0,0,1.153846154,0,0.4,0.5,0.67,0.67,0.5,1.6
13,1.7,0,236,82,0,0,1.153846154,4,0.4,0.5,0,1.33,1.5,1.2
14,2.1,4,98,233,0,0,1.842105263,0,0.4,0,0,1.33,1,1.2
15,2.2,6,98,233,0,0,1.842105263,4,0,0,0,2.67,2,1.6
16,2.3,6,98,233,0,0,1.842105263,6,0,0,0,3.33,3.5,2.8
17,2.4,1,98,233,0,0,1.842105263,6,0,0,0,5.33,4,4
18,2.5,1,98,82,0,0,1.1,1,0,0,0,4.33,4.25,3.4
19,2.6,2,98,233,0,0,1.842105263,1,0,0,0,2.67,3.5,3.6
20,3.1,1,253,82,0,0,0.7,2,0,0,0,1.33,2.5,3.2
21,3.2,4,253,82,0,0,0.7,1,0.2,0.25,0.33,1.33,1.25,2.2
22,3.3,0,253,82,0,0,0.7,4,0.2,0.25,0.33,2.33,2,1.8
23,3.4,1,253,82,0,0,0.7,0,0.2,0.25,0.33,1.67,1.75,1.6
24,3.5,0,253,82,0,0,0.7,1,0.4,0.5,0.33,1.67,1.5,1.6
25,3.6,1,253,82,0,0,0.7,0,0.4,0.25,0.33,0.33,1.25,1.2
26,3.7,1,253,233,0,0,2.416666667,1,0.2,0.25,0.33,0.67,0.5,1.2
27,3.8,1,253,82,0,0,0.7,1,0.2,0.25,0,0.67,0.75,0.6
28,4.1,4,236,82,0,0,1.153846154,1,0.2,0,0,1,0.75,0.8
29,4.2,1,236,82,0,0,1.153846154,4,0,0,0,2,1.75,1.4
30,4.3,1,236,233,0,0,1.5,1,0,0,0,2,1.75,1.6
31,4.4,0,236,82,0,0,1.153846154,1,0,0,0,2,1.75,1.6
32,4.5,0,236,82,0,0,1.153846154,0,0,0,0,0.67,1.5,1.4
33,4.6,0,236,82,0,0,1.153846154,0,0,0,0,0.33,0.5,1.2
34,5.1,4,253,233,0,0,2.416666667,0,0,0,0,0,0.25,0.4
35,5.2,4,253,233,0,0,2.416666667,4,0,0,0,1.33,1,1
36,5.3,6,253,233,0,0,2.416666667,4,0,0,0,2.67,2,1.6
37,5.4,4,253,233,0,0,2.416666667,6,0,0,0,4.67,3.5,2.8
38,5.5,1,253,233,0,0,2.416666667,4,0,0,0,4.67,4.5,3.6
39,5.6,1,253,82,0,0,0.7,1,0,0,0,3.67,3.75,3.8
40,6.1,0,177,82,0,0,1.384615385,1,0,0,0,2,3,3.2
41,6.2,4,177,82,0,0,1.384615385,0,0,0,0,0.67,1.5,2.4
42,6.3,6,177,82,0,0,1.384615385,4,0.8,1,1.33,1.67,1.5,2
43,6.4,1,177,82,0,0,1.384615385,6,0.8,1,1.33,3.33,2.75,2.4
44,6.5,1,177,233,0,0,0.8,1,0.8,1,1.33,3.67,2.75,2.4
45,6.6,0,177,82,0,0,1.384615385,1,1,1.25,0.33,2.67,3,2.4
46,7.1,1,152,233,0,0,1,0,1,0.25,0.33,0.67,2,2.4
47,7.2,1,152,82,0,0,2.5,1,0.2,0.25,0.33,0.67,0.75,1.8
48,7.3,0,152,233,0,0,1,1,0.2,0.25,0,0.67,0.75,0.8
49,7.4,2,152,233,0,0,1,0,0.2,0,0,0.67,0.5,0.6
50,7.5,1,152,233,0,0,1,2,0,0,0,1,1,0.8
51,7.6,4,152,82,0,0,2.5,1,0,0,0,1,1,1
52,8.1,2,177,233,0,0,0.8,4,0,0,0,2.33,1.75,1.6
53,8.2,1,177,233,0,0,0.8,2,0,0,0,2.33,2.25,1.8
54,8.3,0,177,82,0,0,1.384615385,1,0.2,0.25,0.33,2.33,2,2
55,8.4,6,177,82,0,0,1.384615385,0,0.2,0.25,0.33,1,1.75,1.6
56,8.5,0,177,82,0,0,1.384615385,6,0.2,0.25,0.33,2.33,2.25,2.6
57,8.6,4,177,18,0,0,2.5,0,0.2,0.25,0,2,1.75,1.8
58,9.1,2,240,233,0,0,0.8,4,0.2,0,0,3.33,2.5,2.2
59,9.2,0,240,233,0,0,0.8,2,0,0,0,2,3,2.4
60,9.3,0,240,233,0,0,0.8,0,0,0,0,2,1.5,2.4
61,9.4,1,240,233,0,0,0.8,0,0,0,0,0.67,1.5,1.2
62,9.5,1,240,18,0,0,1,1,0,0,0,0.33,0.75,1.4
63,9.6,1,240,233,0,0,0.8,1,0,0,0,0.67,0.5,0.8
64,10.1,1,177,233,0,0,0.8,1,0,0,0,1,0.75,0.6
65,10.2,1,177,18,0,0,2.5,1,0,0,0,1,1,0.8
66,10.3,1,177,233,0,0,0.8,1,0,0,0,1,1,1
67,0.1,0,126,48,0,1,0.777777778,1,0,0,0,1,1,1
68,0.2,0,126,48,0,1,0.777777778,0,0,0,0,0.67,0.75,0.8
69,0.3,0,126,48,0,1,0.777777778,0,0,0,0,0.33,0.5,0.6
70,0.4,2,126,48,0,1,0.777777778,0,0,0,0,0,0.25,0.4
71,0.5,0,126,48,0,1,0.777777778,2,0,0,0,0.67,0.5,0.6
72,0.6,1,126,138,0,1,1.615384615,0,0,0,0,0.67,0.5,0.4
73,1.1,0,106,138,0,1,0.647058824,1,0,0,0,1,0.75,0.6
74,1.2,0,106,138,0,1,0.647058824,0,0,0,0,0.33,0.75,0.6
75,1.3,0,106,138,0,1,0.647058824,0,0,0,0,0.33,0.25,0.6
76,1.4,2,106,138,0,1,0.647058824,0,0,0,0,0,0.25,0.2
77,1.5,1,106,138,0,1,0.647058824,2,0.4,0.5,0.67,0.67,0.5,0.6
78,1.6,0,106,22,0,1,0,1,0.4,0.5,0.67,1,0.75,0.6
79,2.1,4,126,138,0,1,1.615384615,0,0.4,0.5,0.67,1,0.75,0.6
80,2.2,1,126,138,0,1,1.615384615,4,0.4,0.5,0,1.67,1.75,1.4
81,2.3,0,126,240,0,1,1,1,0.4,0,0,1.67,1.5,1.6
82,2.4,4,126,240,0,1,1,0,0,0,0,1.67,1.25,1.2
83,2.5,0,126,240,0,1,1,4,0,0,0,1.67,2.25,1.8
84,2.6,0,126,240,0,1,1,0,0,0,0,1.33,1.25,1.8
85,3.1,1,106,138,0,1,0.647058824,0,0,0,0,1.33,1,1
86,3.2,1,106,138,0,1,0.647058824,1,0.2,0.25,0.33,0.33,1.25,1
87,3.3,1,106,138,0,1,0.647058824,1,0.4,0.5,0.67,0.67,0.5,1.2
88,3.4,0,106,240,0,1,1.222222222,1,0.4,0.5,0.67,1,0.75,0.6
89,3.5,1,106,240,0,1,1.222222222,0,0.4,0.5,0.33,0.67,0.75,0.6
90,3.6,0,106,138,0,1,0.647058824,1,0.4,0.25,0,0.67,0.75,0.8
91,3.7,1,106,138,0,1,0.647058824,0,0.2,0,0,0.33,0.5,0.6
92,3.8,1,106,138,0,1,0.647058824,1,0.2,0.25,0.33,0.67,0.5,0.6
93,3.9,0,106,240,0,1,1.222222222,1,0.2,0.25,0.33,0.67,0.75,0.6
94,4.1,0,126,138,0,1,1.615384615,0,0.2,0.25,0.33,0.67,0.5,0.6
95,4.2,0,126,138,0,1,1.615384615,0,0.2,0.25,0,0.33,0.5,0.4
96,4.3,1,126,119,0,1,0.636363636,0,0.2,0,0,0,0.25,0.4
97,4.4,1,126,240,0,1,1,1,0,0,0,0.33,0.25,0.4
98,4.5,0,126,119,0,1,0.636363636,1,0,0,0,0.67,0.5,0.4
